Universe,Year,IC_1d,IC_3d,IC_5d,IC_10d,IC_20d
SP1500,2012,0.037709945093420114,0.027544217974062115,0.03544069977047818,0.05125117649212804,0.03704415554615846
SP1500,2013,0.04243030642638407,0.012929753648643965,0.022150020286098634,0.019032889411853132,-0.0065516168210062444
SP1500,2014,0.05363528545723304,0.05788428401704437,0.061537618016483164,0.048852277502710456,0.09019139194832632
SP1500,2015,0.007417175818396046,0.008792175655943434,0.004144986623578954,0.0355400544034468,0.01596248520292907
SP1500,2016,0.10299387181549055,0.09450909586114552,0.08491610274372523,0.046097688481233016,0.07229622608330896
SP1500,2017,0.0516184024694731,0.07130880202935458,0.08560871853232771,0.09434463628167974,0.10947302608338384
SP1500,2018,0.0069431807525739565,0.039568923455452064,0.04421102059755537,0.06306312005061056,0.050285087592713884
SP1500,2019,0.0056637787181726025,0.06480986340015409,0.06683059882415558,0.07483636165278705,0.09206506414666621
SP1500,2020,0.015029179831535384,0.0700458299543497,0.07575798855327663,0.12221659357900766,0.003178042276212072
SP1500,2021,-0.011277882912321598,-0.020395051626186364,-0.03568707543867691,0.002699797588871015,0.09520904361014562
SP1500,2022,0.0029806504297870155,-0.026226063565492657,-0.026897759967189506,-0.017181894242267834,0.017899676865541517
SP1500,2023,-0.02251476350735937,0.007556297754403138,0.016617699670576785,0.02743189722758673,0.06660744437309311
SP1500,2024,0.015981412228803903,0.01589716697515676,0.026069130715783144,0.03994099146862447,0.03206635151511028
SP1500,2025,0.025468731324614212,0.03907867354457657,0.002468201311620563,-0.005295509405049244,0.00733855761790159
SP1500,2026,0.06129949642167136,0.052136282397423704,0.049756906119348854,0.02227834521813461,0.04455541063298384
RU3K proxy,2010,0.035547195524271505,0.026831541013950935,-0.04671650827451644,-0.09688398323510547,-0.1289303526249711
RU3K proxy,2011,0.11080948611401015,0.07456096780798692,0.10919490739412271,0.11048510688454621,0.13791901291578204
RU3K proxy,2012,0.00028842908099062446,-0.013173580068551505,0.013445946024344662,0.026198228681087638,0.07190672454137602
RU3K proxy,2013,0.01559883998715904,-0.017103058270546215,0.03460985597188824,0.08573087858490952,0.050429583650040105
RU3K proxy,2014,0.02979367710777494,0.018815103672864115,0.05618963620044738,0.05064419674180701,0.08252399482272951
RU3K proxy,2015,0.04801060564815946,0.026123296631193057,0.008223516947360211,0.08381760893439674,0.10548469995923107
RU3K proxy,2016,0.1256906281813665,0.09300240588685582,0.07981337550691835,0.06589315056887915,0.06160115132472007
RU3K proxy,2017,0.06752068441705489,0.09827473375369312,0.06663286545248245,0.02919656483447687,0.0873179231337107
RU3K proxy,2018,-0.005413456417976577,-0.001860810327901309,0.03204892845766267,0.02792049846608351,0.036513477017110975
RU3K proxy,2019,0.0015763468699503899,0.05570904665102596,0.07100308892021008,0.11617163527992806,0.06864769456953915
RU3K proxy,2020,0.039749706312549225,0.004439292390374782,0.007776931859200118,0.015908958344507774,-0.03559448320174602
RU3K proxy,2021,-0.001703568345650631,-0.0012778197823454832,-0.014677595219658078,0.0804447808019887,0.06857868451797432
RU3K proxy,2022,0.009380351734846974,-0.022294988021843615,-0.044252905663290036,0.03409001996591386,0.041423023213586284
RU3K proxy,2023,-0.019625203279176415,0.011619863716531785,0.01633525588091716,0.0006212658892311741,0.03271097076869933
RU3K proxy,2024,0.05248152453608034,0.0676024961222517,0.058177480120968975,0.10306426520505339,0.13538823311325748
RU3K proxy,2025,0.030045205308832867,0.029300299006471176,0.02184932835365845,0.015998709784531065,0.021554126008447638
RU3K proxy,2026,0.1242187212529069,0.08517094481932752,0.054242617770743434,0.09929534083406401,0.16961454547547336
